Power,Time
0,0.010602951049804688
1,0.010241031646728516
2,0.010555028915405273
3,0.009260177612304688
4,0.009324073791503906
5,0.010345935821533203
6,0.009239673614501953
7,0.010488033294677734
8,0.020109176635742188
